country,iso3,state_region
Amsterdam,NLD,
Athens,GRC,
Atlanta,USA,Georgia
Auckland,AUS,
Baltimore,USA,Maryland
Bangkok,THA,
Barcelona,SPN,
Berlin,DEU,
Birmingham - UK,GBR,
Bochum - Dortmund,DEU,
Boston,USA,Massachusets
Brisbane,AUS,
Brussels,BEL,
Buenos Aires,ARG,
Cairo,EGY,
Calgary,CAN,
Cape Town,ZAF,
Chicago,US,Illinois
Cologne,DEU,
Copenhagen,DEN,
Dallas,US,Texas
Delhi,IND,
Denver,USA,Colorado
Detroit,US,Michigan
Dubai,UAE,
Dublin,IRL,
Dusseldorf,DEU,
Edmonton,GBR,
Frankfurt,DEU,
Fukuoka,JPN,
Guadalajara,MEX,
Halifax,CAN,
Hamburg,DEU,
Helsinki,FIN,
Houston,USA,Texas
Hsin-chu,TWN,
Istanbul,TUR,
Jakarta,IDN,
Johannesburg,ZAF,
Kuala Lumpur,MYS,
Leeds,GBR,
Lille,FRA,
London,GBR,
Los Angeles,USA,California
Lyon,FRA,
Madrid,ESP,
Manchester,GBR,
Manila,PHL,
Melbourne,AUS,
Mexico City,MEX,
Miami,USA,Florida
Milan,ITL,
Montreal,CAN,
Moscow,RUS,
Mumbai,IND,
Munich,DEU,
Nagoya,JPN,
New York City,USA,New York
Osaka,JPN,
Oslo,NOR,
Ottawa,CAN,
Paris,FRA,
Perth,AUS,
Philadelphia,USA,Pennsylvania
Rio de Janeiro,BRA,
Riyadh,SAU,
Rome,ITA,
Rotterdam,NLD,
Saint Petersburg,RUS,
San Francisco - Bay Area,USA,California
Santiago,CHL,
Sao Paulo,BRA,
Seattle,USA,Washington
Seoul,KOR,
Stockholm,SWE,
Stuttgart,DEU,
Sydney,AUS,
Taichung,TWN,
Taipei,TWN,
Tel Aviv,ISR,
Tijuana,MEX,
Tokyo,JPN,
Toronto,CAN,
Toulouse,FRA,
Utrecht,NLD,
Vancouver,CAN,
Vienna,AUT,
Washington DC,USA,Washington DC
Zurich,CHE,
