name,fips,iso,population
Faroe Islands,FO,FO,48497
Greenland,GL,GL,56025
French Guiana,GF,FR-GF,290691
French Polynesia,FP,FR-PF,277679
Guadeloupe,GP,FR-GP,395700
Mayotte,MF,FR-YT,270372
New Caledonia,NC,FR-NC,284060 
Reunion,RE,FR-RE,859959
Saint Barthelemy,BL,FR-BL,9131
St Martin,MR,FR-MF,37264
Martinique,MQ,FR-MQ,376480
Aruba,AW,NL-AW,105845
Curacao,UC,NL-CW,158665
Sint Maarten,NN,NL-SX,40654
Bermuda,BM,BM,62506
Cayman Islands,KY,CY,64174
Channel Islands,CI,GB-CI,170499
Gibraltar,GI,GI,33718
Isle of Man,IM,IM,8407
Montserrat,MS,MS,5900
Anguilla,AI,AI,15094
British Virgin Islands,VG,VG,29802
Turks and Caicos Islands,TC,TC,37665
Bonaire Sint Eustatius and Saba,BQ,NL-BQ,25157
Falkland Islands (Malvinas),FK,FK,2840
Saint Pierre and Miquelon,PM,PM,5888
