name,fips,iso,population,area,gb,gbn,hasc,,marc,post,conventional,capital,
Anhui,CH01,CN-AH,70829000,140455,AH,34,CN.AH,,an,23-24,Anhwei,Hefei,
Beijing,CH22,CN-BJ,21540000,16808,BJ,11,CN.BJ,,pe,10,Peking,Beijing,
Chongqing,CH33,CN-CQ,30480000,82403,CQ,50,CN.CQ,,cq,40,Chungking,Chongqing,
Fujian,CH07,CN-FJ,38560000,122919,FJ,35,CN.FJ,,fu,35-36,Fukien,Fuzhou,
Gansu,CH15,CN-GS,26370000,459233,GS,62,CN.GS,,ka,73-74,Kansu,Lanzhou,
Guangdong,CH30,CN-GD,113460000,178341,GD,44,CN.GD,,kn,51-52,Kwangtung,Guangzhou,
Guangxi Zhuang,CH16,CN-GX,48380000,90734,GX,45,CN.GX,,kc,53-54,Kwangsi Chuang,Nanning,
Guizhou,CH18,CN-GZ,34750000,174976,GZ,52,CN.GZ,,kw,55-56,Kweichow,Guiyang,
Hainan,CH31,CN-HI,9250000,60438,HI,46,CN.HA,,ha,57,Hainan,Haikou,
Hebei,CH10,CN-HE,74700000,187240,HE,13,CN.HB,,hp,05-07,Hopeh,Shijiazhuang,
Heilongjiang,CH08,CN-HL,38310000,431767,HL,23,CN.HL,,he,15-16,Heilungkiang,Harbin,
Henan,CH09,CN-HA,96050000,166310,HA,41,CN.HE,,ho,45-47,Honan,Zhengzhou,
Hubei,CH12,CN-HB,59170000,185673,HB,42,CN.HU,,hh,43-44,Hupeh,Wuhan,
Hunan,CH11,CN-N,68990000,211231,HN,43,CN.HN,,hu,41-42,Hunan,Changsha,
Jiangsu,CH04,CN-JS,80510000,98285,JS,32,CN.JS,,ku,21-22,Kiangsu,Nanjing,
Jiangxi,CH03,CN-JX,46480000,171041,JX,36,CN.JX,,ki,33-34,Kiangsi,Nanchang,
Jilin,CH05,CN-JL,27040000,191038,JL,22,CN.JL,,kr,13,Kirin,Changchun,
Liaoning,CH19,CN-LN,43590000,147451,LN,21,CN.LN,,lp,11-12,Liaoning,Shenyang,
Nei Mongol,CH20,CN-NM,27000000,1181104,NM,15,CN.NM,,im,01-02,Inner Mongoli,Hohhot,
Ningxia Hui,CH21,CN-NX,6310000,52188,NX,64,CN.NX,,nn,75,Ningsia Hui,Yinchuan,
Qinghai,CH06,CN-QH,6030000,720459,QH,63,CN.QH,,ts,81,Tsinghai,Xining,
Shaanxi,CH26,CN-SA,38640000,204846,SA,61,CN.SA,,ss,71-72,Shensi,Xian,
Shandong,CH25,CN-SD,100470000,156219,SD,37,CN.SD,,sp,25-27,Shantung,Jinan,
Shanghai,CH23,CN-SH,24240000,6500,SH,31,CN.SH,,sm,20,Shanghai,Shanghai,
Shanxi,CH24,CN-SX,37180000,149708,SX,14,CN.SX,,sh,03-04,Shansi,Taiyuan,
Sichuan,CH32,CN-SC,83410000,491146,SC,51,CN.SC,,sz,61-64,Szechwan,Chengdu,
Tianjin,CH28,CN-TJ,15600000,11943,TJ,12,CN.TJ,,tn,30,Tientsin,Tianjin,
Xinjiang Uygur,CH13,CN-XJ,22100000,1743441,XJ,65,CN.XJ,,su,83-84,Sinkiang Uighur,Urumqi,
Xizang,CH14,CN-XZ,3180000,1178577,XZ,54,CN.XZ,,ti,85,Tibet,Lhasa,
Yunnan,CH29,CN-YN,48300000,388610,YN,53,CN.YN,,yu,65-67,Yunnan,Kunming,
Zhejiang,CH02,CN-ZJ,57370000,106078,ZJ,33,CN.ZJ,,ch,31-32,Chekiang,Hangzhou,
