code3,location,population
4,Afghanistan,38928000
8,Albania,2878000
12,Algeria,43851000
16,American Samoa,55000
20,Andorra,77000
24,Angola,32866000
660,Anguilla,15000
28,Antigua and Barbuda,98000
32,Argentina,45196000
51,Armenia,2963000
533,Aruba,107000
36,Australia,25500000
40,Austria,9006000
31,Azerbaijan,10139000
44,Bahamas,393000
48,Bahrain,1702000
50,Bangladesh,164689000
52,Barbados,287000
112,Belarus,9449000
56,Belgium,11590000
84,Belize,398000
204,Benin,12123000
60,Bermuda,62000
64,Bhutan,772000
68,Bolivia (Plurinational State of),11673000
70,Bosnia and Herzegovina,3281000
72,Botswana,2352000
76,Brazil,212559000
92,British Virgin Islands,30000
96,Brunei Darussalam,437000
100,Bulgaria,6948000
854,Burkina Faso,20903000
108,Burundi,11891000
132,Cabo Verde,556000
116,Cambodia,16719000
120,Cameroon,26546000
124,Canada,37742000
136,Cayman Islands,66000
140,Central African Republic,4830000
148,Chad,16426000
830,Channel Islands,174000
152,Chile,19116000
156,China,1439324000
170,Colombia,50883000
174,Comoros,870000
178,Congo,5518000
184,Cook Islands,18000
188,Costa Rica,5094000
191,Croatia,4105000
192,Cuba,11327000
531,Curaçao,164000
196,Cyprus,1207000
203,Czechia,10709000
384,Côte d'Ivoire,26378000
408,Dem. People's Republic of Korea,25779000
180,Democratic Republic of the Congo,89561000
208,Denmark,5792000
262,Djibouti,988000
212,Dominica,72000
214,Dominican Republic,10848000
218,Ecuador,17643000
818,Egypt,102334000
222,El Salvador,6486000
226,Equatorial Guinea,1403000
232,Eritrea,3546000
233,Estonia,1327000
748,Eswatini,1160000
231,Ethiopia,114964000
238,Falkland Islands (Malvinas),3000
234,Faroe Islands,49000
242,Fiji,896000
246,Finland,5541000
250,France,65274000
254,French Guiana,299000
258,French Polynesia,281000
266,Gabon,2226000
270,Gambia,2417000
268,Georgia,3989000
276,Germany,83784000
288,Ghana,31073000
292,Gibraltar,34000
300,Greece,10423000
304,Greenland,57000
308,Grenada,113000
312,Guadeloupe,400000
316,Guam,169000
320,Guatemala,17916000
324,Guinea,13133000
624,Guinea-Bissau,1968000
328,Guyana,787000
332,Haiti,11403000
336,Holy See,1000
340,Honduras,9905000
348,Hungary,9660000
352,Iceland,341000
356,India,1380004000
360,Indonesia,273524000
364,Iran (Islamic Republic of),83993000
368,Iraq,40223000
372,Ireland,4938000
833,Isle of Man,85000
376,Israel,8656000
